repository,type,source,keyword,summary,link,status
aws/aws-sam-cli,Issue,body+title,OS=linux|windows|wsl; FIX=fails|skip; TEST_CI=workflow,Debugging on Windows WSL2 Fails with Timeout,https://github.com/aws/aws-sam-cli/issues/2149,To review
aws/aws-sam-cli,Issue,body+comment,OS=linux|macos|osx|windows; FIX=fails; TEST_CI=workflow,sam build doesn't work with `cvxpy` in requirements,https://github.com/aws/aws-sam-cli/issues/2148,To review
beetbox/beets,Issue,body+title,OS=linux|ubuntu; FIX=bug,beet zsh completion bug ubuntu 20.04,https://github.com/beetbox/beets/issues/3693,To review
QMCSoftware/QMCSoftware,Issue,body+comment+title,OS=linux|windows; FIX=workaround; TEST_CI=test|travis,QMCPy for Windows,https://github.com/QMCSoftware/QMCSoftware/issues/156,To review
beetbox/beets,Issue,body+comment+title,OS=windows; FIX=bug|fixed; API=ntpath|os.path,Sanitize colons in drive-letter-like positions in Windows filenames like path separators,https://github.com/beetbox/beets/issues/3685,To review
StackStorm/st2,Issue,body+comment+title,OS=linux|ubuntu|windows; FIX=bug|fix|fixed|fixes; TEST_CI=test|tests; API=subprocess,ImportError: No module named st2common.util.shell when run linux.service,https://github.com/StackStorm/st2/issues/5004,To review
StackStorm/st2,Issue,body+title,OS=centos|linux; FIX=broken; TEST_CI=tests,Add tests for all linux pack actions,https://github.com/StackStorm/st2/issues/4999,To review
beetbox/beets,Issue,body+comment,OS=linux|ubuntu; FIX=bug|fix|workaround,during pluginload ... Name node can't be used with 'None' constant,https://github.com/beetbox/beets/issues/3674,To review
OpenMDAO/OpenMDAO,Issue,body+title,OS=os x|ubuntu|windows; FIX=bug|fails; TEST_CI=nose|pytest,Install using [all] suffix fails on Mac OS X Catalina,https://github.com/OpenMDAO/OpenMDAO/issues/1540,To review
NagiosEnterprises/ncpa,Issue,body+title,OS=rhel; FIX=fails|failure,Service fails to start on RHEL 8 in FIPS mode,https://github.com/NagiosEnterprises/ncpa/issues/655,To review
MatthieuDartiailh/pyclibrary,Issue,body+comment,OS=windows; FIX=bug|fix|fixed|regression|workaround; TEST_CI=test,Wrong order of sizes in multidimensional arrays,https://github.com/MatthieuDartiailh/pyclibrary/issues/44,To review
OSGeo/grass-addons,Issue,body+title,OS=windows; FIX=bug|fails,[Bug] r.in.usgs fails,https://github.com/OSGeo/grass-addons/issues/254,To review
Xpra-org/xpra,Issue,body+comment+title,OS=win32|windows; FIX=bug|fix,Headerbar windows refuse to respond to Windows Winkey shortcuts,https://github.com/Xpra-org/xpra/issues/2842,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|ubuntu|windows; FIX=broken|fixed,Splash screen interferes with Plink,https://github.com/Xpra-org/xpra/issues/2841,To review
OSInside/kiwi,Issue,body+comment,OS=centos|linux|rhel|ubuntu; FIX=fix|fixed|workaround; TEST_CI=test,XFS filesystem created with corrupt superblock,https://github.com/OSInside/kiwi/issues/1509,To review
Xpra-org/xpra,Issue,body+comment,OS=win32; FIX=bug|fixed; TEST_CI=test,handle 16 and 30-bit pixels in cairo backend,https://github.com/Xpra-org/xpra/issues/2839,To review
GNS3/gns3-server,Issue,body+comment+title,OS=debian|linux|ubuntu; FIX=fail; TEST_CI=pytest|test|tests,[2.2.11] Multiple tests fail,https://github.com/GNS3/gns3-server/issues/1796,To review
aboutcode-org/scancode-toolkit,Issue,body+title,OS=linux; FIX=fails|failure|regression,Failure to configure on Linux,https://github.com/aboutcode-org/scancode-toolkit/issues/2108,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|windows; FIX=bug|failing|fails|failure|fix|fixed|workaround; TEST_CI=test|tests,UnboundLocalError: local variable 'app' referenced before assignment,https://github.com/Xpra-org/xpra/issues/2835,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|fedora|linux|ubuntu; FIX=broken|bug|fix|fixed,Xpra stop crashes X Display :0,https://github.com/Xpra-org/xpra/issues/2834,To review
aws/aws-sam-cli,Issue,body+title,OS=darwin|linux|macos|windows; FIX=broken,Installation immediately broken on macOS 10.15.5,https://github.com/aws/aws-sam-cli/issues/2099,To review
beetbox/beets,Issue,body+title,OS=debian; FIX=bug,Crash at start in Debian unstable,https://github.com/beetbox/beets/issues/3657,To review
MonetDBSolutions/MonetDBe-Python,Issue,title,OS=osx; FIX=fails,OSX build for oscar branch fails,https://github.com/MonetDBSolutions/MonetDBe-Python/issues/73,To review
MonetDBSolutions/MonetDBe-Python,Issue,body+comment,OS=fedora|linux|osx; FIX=fails|workaround; CAUSE=.so,libcrypto not properly picked up in binary wheel,https://github.com/MonetDBSolutions/MonetDBe-Python/issues/72,To review
NagiosEnterprises/ncpa,Issue,body+comment,OS=arch|centos|debian|fedora|rhel|ubuntu; FIX=fix|fixed; TEST_CI=test,Uninstalling DEB package leave systemd service active,https://github.com/NagiosEnterprises/ncpa/issues/651,To review
ARM-software/lisa,Issue,body+title,OS=ubuntu; FIX=fail|fixed|fixes,WIP: Tracking fixes for Exoplayer & Jankbench failures upstream.,https://github.com/ARM-software/lisa/issues/1455,Not related
cherrypy/cherrypy,Issue,body+comment,OS=debian|ubuntu; FIX=bug|fix,"pip's cherrypy & ""import cherrypy"" => ""ModuleNotFoundError: No module named 'jaraco.collections'""",https://github.com/cherrypy/cherrypy/issues/1862,To review
CCSI-Toolset/FOQUS,Issue,body+title,OS=windows; FIX=broken|fixed|fixes; API=os.path,3.6.0rc0 broken on Windows,https://github.com/CCSI-Toolset/FOQUS/issues/760,To review
Xpra-org/xpra,Issue,title,OS=macos; FIX=broken,initiate moveresize broken on macos,https://github.com/Xpra-org/xpra/issues/2823,To review
OSGeo/grass-addons,Issue,body+comment+title,OS=linux|mingw|posix|ubuntu|windows; FIX=broken|bug; TEST_CI=test,Infinity does not work in Windows - case with r.hants and r.series.lwr,https://github.com/OSGeo/grass-addons/issues/230,To review
Xpra-org/xpra,Issue,body+title,OS=arch|centos; FIX=fixed,Installing Cinnamon yum package group does not work on CentOS 7 because of package dependencies,https://github.com/Xpra-org/xpra/issues/2820,To review
aiidateam/aiida-core,Issue,title,OS=ubuntu; FIX=broken,Formatting of the exporting progress bar is broken on Ubuntu,https://github.com/aiidateam/aiida-core/issues/4197,To review
aws/sagemaker-training-toolkit,Issue,body+comment,OS=windows; FIX=broken|bug|fix; TEST_CI=test; CAUSE=executable|utf-8,Bash Command ENTRYPOINT Expects `train` argument,https://github.com/aws/sagemaker-training-toolkit/issues/65,To review
OSInside/kiwi,Issue,body+comment+title,OS=arch|debian|linux|ubuntu; FIX=regression,Different blkid output on Arch Linux and Debian causes ISO to be unbootable,https://github.com/OSInside/kiwi/issues/1489,To review
DeltaRCM/pyDeltaRCM,Issue,body+title,OS=windows; FIX=broken|fail,Random seed setting broken on Windows,https://github.com/DeltaRCM/pyDeltaRCM/issues/64,To review
Bitmessage/PyBitmessage,Issue,body+title,OS=windows; FIX=compatibility|fix|workaround,Windows build python 2 compatibility,https://github.com/Bitmessage/PyBitmessage/issues/1658,To review
aws/aws-sam-cli,Issue,body+title,OS=debian|linux|windows|wsl; FIX=bug|fix|fixed; TEST_CI=workflow,SAM CLI integration has trouble with WSL,https://github.com/aws/aws-sam-cli/issues/2056,To review
GNS3/gns3-server,Issue,body+comment+title,OS=debian|ubuntu; FIX=fail|failing|fixed; TEST_CI=pytest|test|tests; CAUSE=chmod; API=os.path,3 tests fail with python 3.8,https://github.com/GNS3/gns3-server/issues/1784,To review
BEAST-Fitting/beast,Issue,body+title,OS=windows; FIX=failing; TEST_CI=github actions|test|tests,BEAST failing on windows,https://github.com/BEAST-Fitting/beast/issues/585,To review
MetPX/sarracenia,Issue,title,OS=ubuntu; FIX=broken,sr broken < ubuntu 18.04,https://github.com/MetPX/sarracenia/issues/341,To review
Grid2op/chronix2grid,Issue,comment,OS=macos|ubuntu; FIX=fails; API=pathlib,matplotlib AttributeError: type object 'Path' has no attribute 'home' -> issue on some os for latest versions of matplotlib,https://github.com/Grid2op/chronix2grid/issues/17,To review
MonetDBSolutions/MonetDBe-Python,Issue,comment,OS=osx; FIX=broken,Basis issue with fetchone(),https://github.com/MonetDBSolutions/MonetDBe-Python/issues/46,To review
artisan-roaster-scope/artisan,Issue,body+comment+title,OS=linux|macos|osx|windows; FIX=compatibility|fix,New version 2.4 for Mac OSX does not work with the Hottop KN-8828B-2K+,https://github.com/artisan-roaster-scope/artisan/issues/475,To review
VUnit/vunit,Issue,body+comment+title,OS=linux|mingw|msys2|ubuntu|unix|win32|windows|wsl; FIX=bug|fixed|fixes; TEST_CI=test|tox; CAUSE=executable|symlink; API=os.name|os.path|platform.release|subprocess|sys.platform,run VUnit from WSL with Modelsim installed in windows,https://github.com/VUnit/vunit/issues/658,To review
SoCo/SoCo,Issue,body+title,OS=linux|windows; FIX=broken,Events broken on linux - OSError: [Errno 98] Address already in use,https://github.com/SoCo/SoCo/issues/728,To review
cookiejar/cookietemple,Issue,body+title,OS=unix|windows; FIX=fix; TEST_CI=ci; API=subprocess,[CORE] Windows support,https://github.com/cookiejar/cookietemple/issues/242,To review
MatthieuDartiailh/pyclibrary,Issue,body+title,OS=windows; FIX=bug; CAUSE=slash,Bug when using CLibrary() on a Windows Path,https://github.com/MatthieuDartiailh/pyclibrary/issues/42,To review
VUnit/vunit,Issue,body+comment+title,OS=linux|msys2|windows; FIX=fix; TEST_CI=test; API=posixpath,Not serializable PosixPath when exporting JSON,https://github.com/VUnit/vunit/issues/657,To review
Xpra-org/xpra,Issue,body+comment+title,OS=darwin|linux|macos|osx|ubuntu; FIX=fix; TEST_CI=test,OSX Alt/Option and Command behavior,https://github.com/Xpra-org/xpra/issues/2804,To review
beetbox/beets,Issue,body+comment+title,OS=windows; FIX=fail|fails|fix|fixed; TEST_CI=appveyor|ci|github actions|matrix|pytest|test|tests|tox|workflow; CAUSE=encoding|locale|utf-8,feat(ci): integrate Windows,https://github.com/beetbox/beets/issues/3613,Related!!
GNS3/gns3-server,Issue,body,OS=linux|unix; FIX=fails|fixed,Qemu VM + SPICE does not start,https://github.com/GNS3/gns3-server/issues/1772,To review
OSInside/kiwi,Issue,body+comment+title,OS=centos|debian|fedora|ubuntu; FIX=fixes; TEST_CI=tests,Update integration tests,https://github.com/OSInside/kiwi/issues/1468,To review
aboutcode-org/scancode-toolkit,Issue,body+comment,OS=fedora; FIX=bug|workaround; CAUSE=.so,"Error in version 3.0, everything is normal in version 2.9.9",https://github.com/aboutcode-org/scancode-toolkit/issues/2049,To review
ansible-community/antsibull-build,Issue,body+comment,OS=linux|macos; FIX=fix|workaround; TEST_CI=test,Review usages of asyncio.gather to see if they need to use asyncio_pool,https://github.com/ansible-community/antsibull-build/issues/44,To review
benoitc/gunicorn,Issue,body+title,OS=ubuntu; FIX=fails; TEST_CI=test,gunicorn fails to import opencv and numpy on ubuntu,https://github.com/benoitc/gunicorn/issues/2340,To review
benoitc/gunicorn,Issue,comment,OS=linux|macos|ubuntu|unix|windows; FIX=fix|workaround; API=subprocess,reload does not work for uvicorn.workers.UvicornWorker,https://github.com/benoitc/gunicorn/issues/2339,To review
constverum/ProxyBroker,Issue,body+title,OS=cygwin; FIX=bug,[bug] proxybroker exit slowly in Cygwin,https://github.com/constverum/ProxyBroker/issues/169,To review
OSInside/kiwi,Issue,body+title,OS=centos; FIX=workaround; TEST_CI=test,CentOS 7 UEFI images are not booting on UEFI,https://github.com/OSInside/kiwi/issues/1453,To review
MonetDBSolutions/MonetDBe-Python,Issue,title,OS=osx; FIX=broken,Compilation broken on OSX 10.15,https://github.com/MonetDBSolutions/MonetDBe-Python/issues/25,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=alpine|linux|posix|unix|windows; FIX=bug|fixes; TEST_CI=test; API=ntpath|os.path|posixpath,Wrong absolute path to code is resolved when running in Linux container on Windows host,https://github.com/aws/aws-sam-cli/issues/2003,To review
OpenMDAO/OpenMDAO,Issue,body+comment,OS=linux|ubuntu; FIX=broken|bug|fixed; TEST_CI=matrix|test,check_partials on a big distributed component hangs,https://github.com/OpenMDAO/OpenMDAO/issues/1425,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|linux|macos|windows; FIX=fix|fixed|regression; TEST_CI=test|tests; CAUSE=backslash|locale,XPRA inside Docker HTML5 Client German Keyboard wrong Keys,https://github.com/Xpra-org/xpra/issues/2769,To review
Xpra-org/xpra,Issue,body,OS=linux|ubuntu|unix|windows; FIX=bug|fix|fixed; CAUSE=encoding|executable|utf-8,Xdummy crashes as soon as xpra connects,https://github.com/Xpra-org/xpra/issues/2764,To review
ExoCTK/exoctk,Issue,comment,OS=linux|osx|windows; FIX=broken|fail|failing|failure|fixed,"Update ""ExoCTK Data Download"" link on homepage",https://github.com/ExoCTK/exoctk/issues/368,To review
StackStorm/st2,Issue,body+comment+title,OS=linux; FIX=fix; TEST_CI=workflow,how to run linux.netstat action with arguments,https://github.com/StackStorm/st2/issues/4946,To review
DLR-RM/stable-baselines3,Issue,comment,OS=windows; FIX=bug|fixes; TEST_CI=ci|tests; API=os.path,Review of Existing Code,https://github.com/DLR-RM/stable-baselines3/issues/17,To review
OmniSharp/omnisharp-vim,Issue,body+comment,OS=windows; FIX=bug|fix; TEST_CI=test,Non-existent symbols are not caught by omnisharp+ale,https://github.com/OmniSharp/omnisharp-vim/issues/587,To review
aiidalab/aiidalab,Issue,body+comment,OS=unix; FIX=fix; API=os.path,Watchdog: inotify watch limit reached,https://github.com/aiidalab/aiidalab/issues/57,To review
aiidateam/aiida-core,Issue,body+title,OS=darwin|macos|os x|osx|posix; FIX=fails|failure; CAUSE=encoding|locale|time zone|utf-8,verdi quicksetup failure on MacOS,https://github.com/aiidateam/aiida-core/issues/4032,To review
OSInside/kiwi,Issue,body+comment+title,OS=arch|wsl; FIX=fails|workaround; TEST_CI=test|tests,when can wsl-appx.justforwsltest be deleted,https://github.com/OSInside/kiwi/issues/1424,To review
AndrewAnnex/SpiceyPy,Issue,comment,OS=darwin|linux|macos|ubuntu|win32|windows; FIX=bug|compatibility|fixed|skip; TEST_CI=appveyor|test; CAUSE=.dll|executable,de431t.bsp file handling error,https://github.com/AndrewAnnex/SpiceyPy/issues/366,To review
AndrewAnnex/SpiceyPy,Issue,comment,OS=darwin|linux|macos|ubuntu|win32|windows; FIX=bug|compatibility|fixed|skip; TEST_CI=appveyor|test; CAUSE=.dll|executable,de431t.bsp file handling error,https://github.com/AndrewAnnex/SpiceyPy/issues/366,To review
Azure/azure-functions-python-worker,Issue,body+comment+title,OS=debian|linux|macos|windows; FIX=bug|fail|failure|workaround,[BUG] system service identity authentication against Azure SQL doesn't work,https://github.com/Azure/azure-functions-python-worker/issues/664,To review
MouseLand/Kilosort,Issue,body+comment,OS=linux|ubuntu|windows; FIX=bug|fail|fails|failure|fixes; TEST_CI=matrix|test; CAUSE=.so|encoding|utf-8,Segmentation fault on splitting cluster,https://github.com/MouseLand/Kilosort/issues/199,To review
GNS3/gns3-server,Issue,body+comment,OS=ubuntu; FIX=broken; CAUSE=chmod,Custom Docker Entrypoints not working,https://github.com/GNS3/gns3-server/issues/1747,To review
Backblaze/b2-sdk-python,Issue,body+title,OS=osx; FIX=fail; TEST_CI=nose|test|tests|unittest; CAUSE=executable,Tests fail on OSX,https://github.com/Backblaze/b2-sdk-python/issues/119,Not related
Azure/azure-functions-python-worker,Issue,body+title,OS=linux|windows; FIX=bug|failure,"[BUG] The code is running in Windows Visual Studio Code, but while deploying to Azure Function giving error",https://github.com/Azure/azure-functions-python-worker/issues/658,To review
GNS3/gns3-server,Issue,body+comment+title,OS=arch|debian|ubuntu; FIX=broken|fails|fixed; TEST_CI=test,Debian packages for Ubuntu 20.04 LTS,https://github.com/GNS3/gns3-server/issues/1746,To review
constverum/ProxyBroker,Issue,comment,OS=macos; FIX=bug,DeprecationWarning after setting new event loop,https://github.com/constverum/ProxyBroker/issues/159,To review
OmniSharp/omnisharp-vim,Issue,body+comment+title,OS=linux|windows|wsl; FIX=fail|failing|fails|fix|fixed; TEST_CI=test; CAUSE=encoding|executable|utf-8; API=encoding=,Can't use on Windows with GVim,https://github.com/OmniSharp/omnisharp-vim/issues/582,To review
Xpra-org/xpra,Issue,body+comment,OS=macos|unix|win32; FIX=fail|fix|fixed,client to listen on local sockets,https://github.com/Xpra-org/xpra/issues/2743,To review
Xpra-org/xpra,Issue,body+comment,OS=arch|debian; FIX=bug|fix|fixed|regression; TEST_CI=test,"FTBFS on [armel,armhf]: Xdummy versus xvfb",https://github.com/Xpra-org/xpra/issues/2737,To review
OSInside/kiwi,Issue,comment,OS=linux; FIX=bug|fixed,Some Problems About Grub,https://github.com/OSInside/kiwi/issues/1408,To review
antismash/antismash,Issue,body,OS=ubuntu; FIX=skip,Error running antismash standalone-lite,https://github.com/antismash/antismash/issues/260,To review
VUnit/vunit,Issue,body+comment,OS=cygwin|macos|mingw|msys2|windows|wsl; FIX=fix; CAUSE=executable; API=subprocess,RivieraPro's vlib FileNotFoundError,https://github.com/VUnit/vunit/issues/643,To review
NREL/floris,Issue,body+title,OS=windows; FIX=bug|fix,Precision errors cause bug on Windows,https://github.com/NREL/floris/issues/91,To review
PhiLFitters/kafe2,Issue,body+title,OS=linux|windows; FIX=bug|fix; CAUSE=encoding|permission denied; API=encoding=,Changing global matplotlib rcparams (#113) on Windows Systems,https://github.com/PhiLFitters/kafe2/issues/126,To review
Xpra-org/xpra,Issue,body+comment+title,OS=windows; FIX=fixed|skip,don't use opengl for all windows,https://github.com/Xpra-org/xpra/issues/2721,To review
Xpra-org/xpra,Issue,body+comment,OS=debian|ubuntu|windows; FIX=bug|fail|fix|fixes|regression|workaround; TEST_CI=test,Issues with clicks on Tray menu and in Eclipse,https://github.com/Xpra-org/xpra/issues/2715,To review
Xpra-org/xpra,Issue,body+comment+title,OS=linux|msys2|ubuntu|unix|win32|windows; FIX=bug|fails|fix|fixed|fixes|workaround; TEST_CI=test; CAUSE=.so|encoding,300% cpu utilization when detached with no windows opened,https://github.com/Xpra-org/xpra/issues/2714,To review
bootphon/phonemizer,Issue,comment,OS=linux|windows|wsl; FIX=bug,shared memfd open() failed: Function not implemented,https://github.com/bootphon/phonemizer/issues/42,To review
Xpra-org/xpra,Issue,body,OS=win32|windows; FIX=fix; TEST_CI=test,support mswindows 10 openssh server to start shadow,https://github.com/Xpra-org/xpra/issues/2711,To review
cornell-brg/hb-pytorch,Issue,body+title,OS=macos; FIX=fix|fixes,Fix build on macOS,https://github.com/cornell-brg/hb-pytorch/issues/40,To review
Xpra-org/xpra,Issue,body+title,OS=debian|windows; FIX=fix|fixed|fixes,"disabling ""Modal windows"" in tray needs re-initialize",https://github.com/Xpra-org/xpra/issues/2706,To review
Xpra-org/xpra,Issue,body+comment+title,OS=debian|windows; FIX=fix|fixed; TEST_CI=test,"""Small windows"" end up unrelated to window parent",https://github.com/Xpra-org/xpra/issues/2703,To review
Xpra-org/xpra,Issue,body+comment+title,OS=fedora|ubuntu|windows; FIX=bug|fix|fixed|fixes|regression|workaround; CAUSE=encoding; API=encoding=,Keypad number are translate to letter windows managed by Xpra,https://github.com/Xpra-org/xpra/issues/2702,To review
Xpra-org/xpra,Issue,body+comment,OS=rhel|windows; FIX=bug|failure|fix|fixed|regression|workaround,Newly-launched window sometimes doesn't respond to keyboard input,https://github.com/Xpra-org/xpra/issues/2690,To review
box/box-python-sdk,Issue,body+comment+title,OS=fedora; FIX=fail|failing|fails|fixed|xfail; TEST_CI=pytest|test|tests|tox,Test failures when building on Fedora 31,https://github.com/box/box-python-sdk/issues/494,To review
OSInside/kiwi,Issue,body,OS=linux; FIX=portability,add support for discoverable partitions,https://github.com/OSInside/kiwi/issues/1385,To review
aws/aws-sam-cli,Issue,body+comment+title,OS=linux|win32|windows; FIX=fail|fails|fix|fixed|skip|workaround; CAUSE=permission denied|symlink; API=subprocess,Running sam init fails with 'Error: Please verify your location',https://github.com/aws/aws-sam-cli/issues/1891,To review
Xpra-org/xpra,Issue,body+comment,OS=macos|windows; FIX=bug|fails|fix,GTK programmatic iconification of the deepin-music window does not work,https://github.com/Xpra-org/xpra/issues/2680,To review
Xpra-org/xpra,Issue,body+title,OS=fedora|osx; FIX=failing|fixed,Clipboard local to server failing with OSX client 3.0.7-r25628,https://github.com/Xpra-org/xpra/issues/2674,To review
alexdlaird/pyngrok,Issue,body+comment,OS=windows; FIX=workaround,Choosing region not working,https://github.com/alexdlaird/pyngrok/issues/32,To review
CodeForPhilly/chime,Issue,comment+title,OS=ubuntu; FIX=fails|portability; TEST_CI=test,"Test the scripts in ""/script"" on ubuntu",https://github.com/CodeForPhilly/chime/issues/86,To review
Xpra-org/xpra,Issue,body+title,OS=macos; FIX=bug,xpra bug-report' not working on macOS,https://github.com/Xpra-org/xpra/issues/2645,To review
JuliaPy/pyjulia,Issue,body+comment,OS=linux|unix|windows; FIX=bug|workaround; TEST_CI=test; CAUSE=.dll|.so; API=subprocess,pyjulia segfaults with multiprocessing,https://github.com/JuliaPy/pyjulia/issues/362,To review
Xpra-org/xpra,Issue,body+comment,OS=windows; FIX=fail|fix|fixed,xdg-open bugs / improvements,https://github.com/Xpra-org/xpra/issues/2641,To review
chrismattmann/tika-python,Issue,body+title,OS=windows; FIX=fixed,Fixed port leads to problems on Windows 10,https://github.com/chrismattmann/tika-python/issues/286,To review
Xpra-org/xpra,Issue,comment,OS=centos|linux|ubuntu|unix|windows; FIX=bug|fix|workaround; CAUSE=.so|encoding|permission denied|utf-8,Disconnect after drag an item from window to other,https://github.com/Xpra-org/xpra/issues/2633,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|macos|ubuntu|windows; FIX=broken|bug|failing|fix|fixed|fixes|regression|skip|workaround,shadow cannot shift+arrow select,https://github.com/Xpra-org/xpra/issues/2632,To review
NagiosEnterprises/ncpa,Issue,comment+title,OS=solaris; FIX=bug|fix|fixed|fixes,NCPA 2.2.1 on Solaris 11.4: Exception on /api/cpu/percent/,https://github.com/NagiosEnterprises/ncpa/issues/622,To review
aws/aws-sam-cli,Issue,body+title,OS=linux|ubuntu|windows; FIX=failing; CAUSE=.so,Failed to install AWS-SAM-CLI on Ubuntu 18.04.4,https://github.com/aws/aws-sam-cli/issues/1854,To review
Xpra-org/xpra,Issue,body+comment,OS=macos|msys2|win32; FIX=fix|fixed,qrcode connection string,https://github.com/Xpra-org/xpra/issues/2627,To review
OmniSharp/omnisharp-vim,Issue,comment,OS=ubuntu|windows; FIX=fixed; CAUSE=.dll,Not Working with Unity,https://github.com/OmniSharp/omnisharp-vim/issues/567,To review
Xpra-org/xpra,Issue,body+comment,OS=fedora|linux|ubuntu|unix|windows; FIX=fix|fixed|workaround,LibreOffice Calc: The brush cursor is not rendered,https://github.com/Xpra-org/xpra/issues/2623,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|ubuntu|win32|windows; FIX=bug|fix|fixed|portable|workaround; TEST_CI=workflow,gnome-terminal sides not rendered fully,https://github.com/Xpra-org/xpra/issues/2618,To review
NREL/buildstockbatch,Issue,body+title,OS=linux|windows|wsl; FIX=workaround,Buildstock AWS doens't run on Windows natively,https://github.com/NREL/buildstockbatch/issues/133,To review
Xpra-org/xpra,Issue,body+title,OS=freebsd; FIX=fail|failing|failure|fix|fixed; TEST_CI=tests,Some tests are failing on FreeBSD,https://github.com/Xpra-org/xpra/issues/2609,To review
MetPX/sarracenia,Issue,body+comment+title,OS=linux|unix; FIX=broken|bug|fails|failure|fix|fixed; TEST_CI=test,[ERROR] Unexpected error: [Errno 32] Broken pipe,https://github.com/MetPX/sarracenia/issues/312,To review
Xpra-org/xpra,Issue,comment,OS=freebsd|linux|ubuntu|win32|windows; FIX=broken|bug|fail|fix|fixed; TEST_CI=test; CAUSE=permission denied,Mouse pointer not visible,https://github.com/Xpra-org/xpra/issues/2607,To review
Xpra-org/xpra,Issue,comment,OS=windows; FIX=bug,Evolution-flatpak questions,https://github.com/Xpra-org/xpra/issues/2606,To review
CMakePP/CMinx,Issue,body+comment+title,OS=linux|unix; FIX=fail|fails|fix; CAUSE=.so|executable,Fix CMake Build,https://github.com/CMakePP/CMinx/issues/21,To review
aws-cloudformation/cfn-lint,Issue,body+title,OS=windows; FIX=broken|fail|fix; TEST_CI=test|tests|tox|unittest; CAUSE=encoding|utf-8; API=encoding=|errors=|os.path,[Windows] --update-specs is broken and some tests don't pass,https://github.com/aws-cloudformation/cfn-lint/issues/1370,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|msys2|ubuntu|win32|windows; FIX=failure|fix|fixed|regression; CAUSE=encoding; API=encoding=,Shadow Information -> Session Information is not showing,https://github.com/Xpra-org/xpra/issues/2599,To review
amaranth-lang/amaranth,Issue,body,OS=macos; FIX=fails,Integrate the CXXSim simulator,https://github.com/amaranth-lang/amaranth/issues/324,To review
Kozea/Radicale,Issue,body+title,OS=openbsd|unix; FIX=compatibility|fail,Standalone FastCGI (also OpenBSD compatibility),https://github.com/Kozea/Radicale/issues/1017,To review
Xpra-org/xpra,Issue,body+comment,OS=rhel|windows; FIX=fixed|fixes,Copy-paste problems,https://github.com/Xpra-org/xpra/issues/2594,To review
OmniSharp/omnisharp-vim,Issue,body+comment,OS=windows; FIX=bug|fix|fixed,OmniSharp does not highlight or show errors when using neovim.,https://github.com/OmniSharp/omnisharp-vim/issues/557,To review
NagiosEnterprises/ncpa,Issue,body+title,OS=linux; FIX=broken|fail,NCPA API calls broken under Linux kernel 5.5,https://github.com/NagiosEnterprises/ncpa/issues/615,To review
BoboTiG/python-mss,Issue,body+title,OS=windows; FIX=fix,[Windows] Black screen when used from Task scheduler (+fix),https://github.com/BoboTiG/python-mss/issues/149,To review
alan-turing-institute/AIrsenal,Issue,body+comment+title,OS=windows; FIX=failing|workaround,Can't pickle class sqlalchemy.orm.session.Session on Windows,https://github.com/alan-turing-institute/AIrsenal/issues/165,To review
csdms/pymt,Issue,comment,OS=linux|windows; FIX=fix,About model installation in pymt,https://github.com/csdms/pymt/issues/106,To review
aws/aws-sam-cli,Issue,body+title,OS=darwin|linux|macos|windows; FIX=fails; TEST_CI=pytest|workflow; CAUSE=dst,sam build --use-container fails to build on macOS,https://github.com/aws/aws-sam-cli/issues/1755,To review
OmniSharp/omnisharp-vim,Issue,body+comment+title,OS=mingw64|msys|windows|wsl; FIX=bug|compatibility|fixed,windows OmniSharpGlobalCodeCheck has incorrect filepaths,https://github.com/OmniSharp/omnisharp-vim/issues/554,To review
SanPen/GridCal,Issue,comment,OS=linux|ubuntu|windows; FIX=bug|fix; TEST_CI=test; CAUSE=.so,Unable to run GridCal due to KeyError,https://github.com/SanPen/GridCal/issues/117,To review
OmniSharp/omnisharp-vim,Issue,body+comment,OS=arch|linux; FIX=fix|fixed; CAUSE=.dll|symlink,server not loading Unity sln file,https://github.com/OmniSharp/omnisharp-vim/issues/552,To review
Xpra-org/xpra,Issue,body,OS=fedora|windows; FIX=bug|fix|fixed,Pressing AltGr+< on a Finnish keyboard layout produces some kind of letter i instead of the pipe character,https://github.com/Xpra-org/xpra/issues/2560,To review
PaulMcInnis/JobFunnel,Issue,body+comment,OS=mingw64|windows; FIX=bug|fix|fixed|fixes,log_path has an invalid value,https://github.com/PaulMcInnis/JobFunnel/issues/58,To review
Pyomo/pyomo,Issue,body+title,OS=windows; FIX=fail; TEST_CI=appveyor|github actions|tests,MCPP builds fail on Windows,https://github.com/Pyomo/pyomo/issues/1258,To review
boto/botocore,Issue,body+comment,OS=arch|linux|windows; FIX=breakage|bug|fix|workaround,botocore 1.14.4 blocks users from updating docutils to 0.16,https://github.com/boto/botocore/issues/1942,To review
Xpra-org/xpra,Issue,body+comment,OS=linux|mingw|mingw64|msys2|posix|ubuntu|windows; FIX=bug|fixed|fixes; TEST_CI=test,Switching to paramiko issues,https://github.com/Xpra-org/xpra/issues/2549,To review
